                   clothType  UpperType  UpperLength  UpperModel  UpperCollar  UpperSleeveLength  UpperShouders  UpperCuff  UpperOpening  UpperMaterial  UpperPattern  TrousersType  TrousersWaist  TrousersLength  TrousersModel  TrousersMaterial  TrousersPattern  SkirtType  SkirtWaist  SkirtLength  SkirtFold  SkirtMaterial  SkirtPattern
TrousersWaist       0.454537  -0.651939    -0.840748   -0.804260    -0.767867          -0.725077      -0.653287  -0.652276     -0.679203      -0.793484     -0.666733      0.782616       1.000000        0.924306       0.920055          0.973241         0.839741  -0.205933   -0.208472    -0.194036  -0.205505      -0.202918     -0.189894
TrousersLength      0.427447  -0.620999    -0.796092   -0.761623    -0.730804          -0.685164      -0.626279  -0.625239     -0.645134      -0.754220     -0.634952      0.681835       0.924306        1.000000       0.875545          0.921985         0.784955  -0.195961   -0.198377    -0.184640  -0.195553      -0.193092     -0.180699
TrousersModel       0.458184  -0.602026    -0.785291   -0.747605    -0.714531          -0.676380      -0.599647  -0.600324     -0.635236      -0.738958     -0.619053      0.734197       0.920055        0.875545       1.000000          0.914796         0.802837  -0.195610   -0.198021    -0.184309  -0.195202      -0.192745     -0.180374
TrousersMaterial    0.457444  -0.646392    -0.837357   -0.799578    -0.762171          -0.722143      -0.645833  -0.645482     -0.676092      -0.787868     -0.660708      0.767606       0.973241        0.921985       0.914796          1.000000         0.847293  -0.204660   -0.207184    -0.192837  -0.204234      -0.201663     -0.188720
TrousersPattern     0.422829  -0.548153    -0.724968   -0.686949    -0.652465          -0.615618      -0.538395  -0.543986     -0.573166      -0.677240     -0.551243      0.724620       0.839741        0.784955       0.802837          0.847293         1.000000  -0.179424   -0.181636    -0.169058  -0.179050      -0.176796     -0.165449
SkirtType           0.630082   0.150727    -0.001749   -0.028461     0.020578          -0.051404       0.079128   0.022757     -0.057515      -0.018804      0.084575     -0.163139      -0.205933       -0.195961      -0.195610         -0.204660        -0.179424   1.000000    0.906771     0.833448   0.878552       0.847074      0.828028
SkirtWaist          0.634313   0.115673    -0.016303   -0.042209     0.008513          -0.062784       0.078511   0.019229     -0.070223      -0.029487      0.061474     -0.164705      -0.208472       -0.198377      -0.198021         -0.207184        -0.181636   0.906771    1.000000     0.840013   0.929230       0.873145      0.828670
SkirtLength         0.601009   0.142896    -0.001914   -0.013680     0.039931          -0.046373       0.118804   0.055069     -0.049573      -0.012692      0.052094     -0.155748      -0.194036       -0.184640      -0.184309         -0.192837        -0.169058   0.833448    0.840013     1.000000   0.829167       0.808499      0.739874
SkirtFold           0.624711   0.120494    -0.018136   -0.040760     0.012760          -0.061280       0.085344   0.028794     -0.069176      -0.024491      0.065040     -0.161668      -0.205505       -0.195553      -0.195202         -0.204234        -0.179050   0.878552    0.929230     0.829167   1.000000       0.864571      0.824667
SkirtMaterial       0.626296   0.136838    -0.026435   -0.030812     0.033514          -0.048690       0.114306   0.044547     -0.050919       0.018924      0.089396     -0.162959      -0.202918       -0.193092      -0.192745         -0.201663        -0.176796   0.847074    0.873145     0.808499   0.864571       1.000000      0.835298
SkirtPattern        0.592693   0.132580    -0.010406   -0.020703     0.029785          -0.038413       0.100466   0.041787     -0.046230       0.001695      0.160406     -0.152119      -0.189894       -0.180699      -0.180374         -0.188720        -0.165449   0.828028    0.828670     0.739874   0.824667       0.835298      1.000000
